"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/reward","[paper]GRPO_online - train/reward__MIN","[paper]GRPO_online - train/reward__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/reward","[paper]GEPO_online - train/reward__MIN","[paper]GEPO_online - train/reward__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/reward","[paper]GSPO_online - train/reward__MIN","[paper]GSPO_online - train/reward__MAX"
"39","1432","1432","1432","0.4140625","0.4140625","0.4140625","1432","1432","1432","0.39453125","0.39453125","0.39453125","1432","1432","1432","0.40234375","0.40234375","0.40234375"
"40","1461","1461","1461","0.38671875","0.38671875","0.38671875","1461","1461","1461","0.39453125","0.39453125","0.39453125","1461","1461","1461","0.41015625","0.41015625","0.41015625"
"41","1490","1490","1490","0.38671875","0.38671875","0.38671875","1490","1490","1490","0.36328125","0.36328125","0.36328125","1490","1490","1490","0.390625","0.390625","0.390625"
"42","1519","1519","1519","0.52734375","0.52734375","0.52734375","1519","1519","1519","0.49609375","0.49609375","0.49609375","1519","1519","1519","0.51953125","0.51953125","0.51953125"
"43","1548","1548","1548","0.53515625","0.53515625","0.53515625","1548","1548","1548","0.5546875","0.5546875","0.5546875","1548","1548","1548","0.5546875","0.5546875","0.5546875"
"44","1577","1577","1577","0.546875","0.546875","0.546875","1577","1577","1577","0.51953125","0.51953125","0.51953125","1577","1577","1577","0.578125","0.578125","0.578125"
"45","1606","1606","1606","0.57421875","0.57421875","0.57421875","1606","1606","1606","0.56640625","0.56640625","0.56640625","1606","1606","1606","0.59375","0.59375","0.59375"
"46","1635","1635","1635","0.46484375","0.46484375","0.46484375","1635","1635","1635","0.47265625","0.47265625","0.47265625","1635","1635","1635","0.484375","0.484375","0.484375"
"47","1664","1664","1664","0.51953125","0.51953125","0.51953125","1664","1664","1664","0.5390625","0.5390625","0.5390625","1664","1664","1664","0.546875","0.546875","0.546875"
"48","1693","1693","1693","0.37890625","0.37890625","0.37890625","1693","1693","1693","0.328125","0.328125","0.328125","1693","1693","1693","0.40234375","0.40234375","0.40234375"
"49","1722","1722","1722","0.55859375","0.55859375","0.55859375","1722","1722","1722","0.55078125","0.55078125","0.55078125","1722","1722","1722","0.5859375","0.5859375","0.5859375"
"50","1751","1751","1751","0.51171875","0.51171875","0.51171875","1751","1751","1751","0.5078125","0.5078125","0.5078125","1751","1751","1751","0.51953125","0.51953125","0.51953125"
"51","1780","1780","1780","0.515625","0.515625","0.515625","1780","1780","1780","0.55078125","0.55078125","0.55078125","1780","1780","1780","0.5390625","0.5390625","0.5390625"
"52","1809","1809","1809","0.3828125","0.3828125","0.3828125","1809","1809","1809","0.4140625","0.4140625","0.4140625","1809","1809","1809","0.4609375","0.4609375","0.4609375"
"53","1838","1838","1838","0.59375","0.59375","0.59375","1838","1838","1838","0.62890625","0.62890625","0.62890625","1838","1838","1838","0.62890625","0.62890625","0.62890625"
"54","1867","1867","1867","0.53515625","0.53515625","0.53515625","1867","1867","1867","0.546875","0.546875","0.546875","1867","1867","1867","0.5546875","0.5546875","0.5546875"
"55","1896","1896","1896","0.59375","0.59375","0.59375","1896","1896","1896","0.58203125","0.58203125","0.58203125","1896","1896","1896","0.61328125","0.61328125","0.61328125"
