"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/reward","[paper]GRPO_online - train/reward__MIN","[paper]GRPO_online - train/reward__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/reward","[paper]GEPO_online - train/reward__MIN","[paper]GEPO_online - train/reward__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/reward","[paper]GSPO_online - train/reward__MIN","[paper]GSPO_online - train/reward__MAX"
"272","9246","9246","9246","0.71484375","0.71484375","0.71484375","9246","9246","9246","0.76953125","0.76953125","0.76953125","9246","9246","9246","0.76953125","0.76953125","0.76953125"
"273","9275","9275","9275","0.75390625","0.75390625","0.75390625","9275","9275","9275","0.77734375","0.77734375","0.77734375","9275","9275","9275","0.796875","0.796875","0.796875"
"274","9304","9304","9304","0.75","0.75","0.75","9304","9304","9304","0.73828125","0.73828125","0.73828125","9304","9304","9304","0.76171875","0.76171875","0.76171875"
"275","9333","9333","9333","0.71875","0.71875","0.71875","9333","9333","9333","0.75390625","0.75390625","0.75390625","9333","9333","9333","0.734375","0.734375","0.734375"
"276","9362","9362","9362","0.7421875","0.7421875","0.7421875","9362","9362","9362","0.75","0.75","0.75","9362","9362","9362","0.73046875","0.73046875","0.73046875"
"277","9391","9391","9391","0.67578125","0.67578125","0.67578125","9391","9391","9391","0.6796875","0.6796875","0.6796875","9391","9391","9391","0.66796875","0.66796875","0.66796875"
"278","9420","9420","9420","0.7734375","0.7734375","0.7734375","9420","9420","9420","0.80078125","0.80078125","0.80078125","9420","9420","9420","0.79296875","0.79296875","0.79296875"
"279","9449","9449","9449","0.82421875","0.82421875","0.82421875","9449","9449","9449","0.83984375","0.83984375","0.83984375","9449","9449","9449","0.83203125","0.83203125","0.83203125"
"280","9478","9478","9478","0.62109375","0.62109375","0.62109375","9478","9478","9478","0.65625","0.65625","0.65625","9478","9478","9478","0.63671875","0.63671875","0.63671875"
"281","9507","9507","9507","0.55859375","0.55859375","0.55859375","9507","9507","9507","0.578125","0.578125","0.578125","9507","9507","9507","0.56640625","0.56640625","0.56640625"
"282","9536","9536","9536","0.64453125","0.64453125","0.64453125","9536","9536","9536","0.625","0.625","0.625","9536","9536","9536","0.65234375","0.65234375","0.65234375"
"283","9565","9565","9565","0.68359375","0.68359375","0.68359375","9565","9565","9565","0.71875","0.71875","0.71875","9565","9565","9565","0.66015625","0.66015625","0.66015625"
"284","9594","9594","9594","0.71875","0.71875","0.71875","9594","9594","9594","0.69921875","0.69921875","0.69921875","9594","9594","9594","0.66796875","0.66796875","0.66796875"
"285","9623","9623","9623","0.82421875","0.82421875","0.82421875","9623","9623","9623","0.82421875","0.82421875","0.82421875","9623","9623","9623","0.85546875","0.85546875","0.85546875"
"286","9652","9652","9652","0.8203125","0.8203125","0.8203125","9652","9652","9652","0.828125","0.828125","0.828125","9652","9652","9652","0.81640625","0.81640625","0.81640625"
"287","9681","9681","9681","0.75390625","0.75390625","0.75390625","9681","9681","9681","0.7421875","0.7421875","0.7421875","9681","9681","9681","0.76171875","0.76171875","0.76171875"
"288","9710","9710","9710","0.8828125","0.8828125","0.8828125","9710","9710","9710","0.87109375","0.87109375","0.87109375","9710","9710","9710","0.8984375","0.8984375","0.8984375"
"289","9890","9890","9890","0.78515625","0.78515625","0.78515625","9890","9890","9890","0.796875","0.796875","0.796875","9890","9890","9890","0.80078125","0.80078125","0.80078125"
"290","9919","9919","9919","0.76953125","0.76953125","0.76953125","9919","9919","9919","0.7578125","0.7578125","0.7578125","9919","9919","9919","0.7734375","0.7734375","0.7734375"
"291","9948","9948","9948","0.734375","0.734375","0.734375","9948","9948","9948","0.76171875","0.76171875","0.76171875","9948","9948","9948","0.76171875","0.76171875","0.76171875"
"292","9977","9977","9977","0.69921875","0.69921875","0.69921875","9977","9977","9977","0.6953125","0.6953125","0.6953125","9977","9977","9977","0.69921875","0.69921875","0.69921875"
"293","10006","10006","10006","0.7734375","0.7734375","0.7734375","10006","10006","10006","0.796875","0.796875","0.796875","10006","10006","10006","0.80859375","0.80859375","0.80859375"
"294","10035","10035","10035","0.7421875","0.7421875","0.7421875","10035","10035","10035","0.703125","0.703125","0.703125","10035","10035","10035","0.734375","0.734375","0.734375"
"295","10064","10064","10064","0.76953125","0.76953125","0.76953125","10064","10064","10064","0.76171875","0.76171875","0.76171875","10064","10064","10064","0.78515625","0.78515625","0.78515625"
"296","10093","10093","10093","0.734375","0.734375","0.734375","10093","10093","10093","0.75","0.75","0.75","10093","10093","10093","0.76171875","0.76171875","0.76171875"
"297","10122","10122","10122","0.66015625","0.66015625","0.66015625","10122","10122","10122","0.69921875","0.69921875","0.69921875","10122","10122","10122","0.68359375","0.68359375","0.68359375"
"298","10151","10151","10151","0.7421875","0.7421875","0.7421875","10151","10151","10151","0.73828125","0.73828125","0.73828125","10151","10151","10151","0.79296875","0.79296875","0.79296875"
"299","10180","10180","10180","0.75390625","0.75390625","0.75390625","10180","10180","10180","0.77734375","0.77734375","0.77734375","10180","10180","10180","0.81640625","0.81640625","0.81640625"
"300","10209","10209","10209","0.6640625","0.6640625","0.6640625","10209","10209","10209","0.68359375","0.68359375","0.68359375","10209","10209","10209","0.65234375","0.65234375","0.65234375"
"301","10238","10238","10238","0.703125","0.703125","0.703125","10238","10238","10238","0.70703125","0.70703125","0.70703125","10238","10238","10238","0.734375","0.734375","0.734375"
"302","10267","10267","10267","0.7734375","0.7734375","0.7734375","10267","10267","10267","0.765625","0.765625","0.765625","10267","10267","10267","0.78515625","0.78515625","0.78515625"
"303","10296","10296","10296","0.82421875","0.82421875","0.82421875","10296","10296","10296","0.80859375","0.80859375","0.80859375","10296","10296","10296","0.8046875","0.8046875","0.8046875"
"304","10325","10325","10325","0.74609375","0.74609375","0.74609375","10325","10325","10325","0.72265625","0.72265625","0.72265625","10325","10325","10325","0.6953125","0.6953125","0.6953125"
"305","10354","10354","10354","0.73046875","0.73046875","0.73046875","10354","10354","10354","0.7578125","0.7578125","0.7578125","10354","10354","10354","0.76953125","0.76953125","0.76953125"
"306","10383","10383","10383","0.765625","0.765625","0.765625","10383","10383","10383","0.76953125","0.76953125","0.76953125","10383","10383","10383","0.7578125","0.7578125","0.7578125"
"307","10412","10412","10412","0.69921875","0.69921875","0.69921875","10412","10412","10412","0.66796875","0.66796875","0.66796875","10412","10412","10412","0.71484375","0.71484375","0.71484375"
"308","10441","10441","10441","0.7265625","0.7265625","0.7265625","10441","10441","10441","0.7109375","0.7109375","0.7109375","10441","10441","10441","0.72265625","0.72265625","0.72265625"
"309","10470","10470","10470","0.69921875","0.69921875","0.69921875","10470","10470","10470","0.70703125","0.70703125","0.70703125","10470","10470","10470","0.7265625","0.7265625","0.7265625"
"310","10499","10499","10499","0.59375","0.59375","0.59375","10499","10499","10499","0.62890625","0.62890625","0.62890625","10499","10499","10499","0.61328125","0.61328125","0.61328125"
"311","10528","10528","10528","0.80078125","0.80078125","0.80078125","10528","10528","10528","0.76953125","0.76953125","0.76953125","10528","10528","10528","0.80859375","0.80859375","0.80859375"
"312","10557","10557","10557","0.5546875","0.5546875","0.5546875","10557","10557","10557","0.58203125","0.58203125","0.58203125","10557","10557","10557","0.58203125","0.58203125","0.58203125"
"313","10586","10586","10586","0.58203125","0.58203125","0.58203125","10586","10586","10586","0.59375","0.59375","0.59375","10586","10586","10586","0.62109375","0.62109375","0.62109375"
"314","10615","10615","10615","0.7109375","0.7109375","0.7109375","10615","10615","10615","0.72265625","0.72265625","0.72265625","10615","10615","10615","0.72265625","0.72265625","0.72265625"
"315","10644","10644","10644","0.78125","0.78125","0.78125","10644","10644","10644","0.74609375","0.74609375","0.74609375","10644","10644","10644","0.74609375","0.74609375","0.74609375"
"316","10673","10673","10673","0.8515625","0.8515625","0.8515625","10673","10673","10673","0.85546875","0.85546875","0.85546875","10673","10673","10673","0.82421875","0.82421875","0.82421875"
"317","10702","10702","10702","0.68359375","0.68359375","0.68359375","10702","10702","10702","0.7109375","0.7109375","0.7109375","10702","10702","10702","0.6953125","0.6953125","0.6953125"
"318","10731","10731","10731","0.66796875","0.66796875","0.66796875","10731","10731","10731","0.6640625","0.6640625","0.6640625","10731","10731","10731","0.65625","0.65625","0.65625"
"319","10760","10760","10760","0.53515625","0.53515625","0.53515625","10760","10760","10760","0.59375","0.59375","0.59375","10760","10760","10760","0.58984375","0.58984375","0.58984375"
"320","10789","10789","10789","0.734375","0.734375","0.734375","10789","10789","10789","0.75390625","0.75390625","0.75390625","10789","10789","10789","0.75390625","0.75390625","0.75390625"
"321","10969","10969","10969","0.68359375","0.68359375","0.68359375","10969","10969","10969","0.67578125","0.67578125","0.67578125","10969","10969","10969","0.6953125","0.6953125","0.6953125"
"322","10998","10998","10998","0.69140625","0.69140625","0.69140625","10998","10998","10998","0.703125","0.703125","0.703125","10998","10998","10998","0.7109375","0.7109375","0.7109375"
"323","11027","11027","11027","0.72265625","0.72265625","0.72265625","11027","11027","11027","0.71875","0.71875","0.71875","11027","11027","11027","0.703125","0.703125","0.703125"
"324","11056","11056","11056","0.67578125","0.67578125","0.67578125","11056","11056","11056","0.6484375","0.6484375","0.6484375","11056","11056","11056","0.62890625","0.62890625","0.62890625"
"325","11085","11085","11085","0.69140625","0.69140625","0.69140625","11085","11085","11085","0.703125","0.703125","0.703125","11085","11085","11085","0.71875","0.71875","0.71875"
"326","11114","11114","11114","0.78515625","0.78515625","0.78515625","11114","11114","11114","0.78125","0.78125","0.78125","11114","11114","11114","0.7890625","0.7890625","0.7890625"
"327","11143","11143","11143","0.74609375","0.74609375","0.74609375","11143","11143","11143","0.7734375","0.7734375","0.7734375","11143","11143","11143","0.77734375","0.77734375","0.77734375"
"328","11172","11172","11172","0.83203125","0.83203125","0.83203125","11172","11172","11172","0.8515625","0.8515625","0.8515625","11172","11172","11172","0.8359375","0.8359375","0.8359375"
"329","11201","11201","11201","0.7109375","0.7109375","0.7109375","11201","11201","11201","0.71484375","0.71484375","0.71484375","11201","11201","11201","0.71875","0.71875","0.71875"
"330","11230","11230","11230","0.73046875","0.73046875","0.73046875","11230","11230","11230","0.76171875","0.76171875","0.76171875","11230","11230","11230","0.74609375","0.74609375","0.74609375"
"331","11259","11259","11259","0.734375","0.734375","0.734375","11259","11259","11259","0.71875","0.71875","0.71875","11259","11259","11259","0.7421875","0.7421875","0.7421875"
"332","11288","11288","11288","0.71484375","0.71484375","0.71484375","11288","11288","11288","0.703125","0.703125","0.703125","11288","11288","11288","0.703125","0.703125","0.703125"
"333","11317","11317","11317","0.76171875","0.76171875","0.76171875","11317","11317","11317","0.7578125","0.7578125","0.7578125","11317","11317","11317","0.75390625","0.75390625","0.75390625"
"334","11346","11346","11346","0.703125","0.703125","0.703125","11346","11346","11346","0.6953125","0.6953125","0.6953125","11346","11346","11346","0.7109375","0.7109375","0.7109375"
"335","11375","11375","11375","0.73046875","0.73046875","0.73046875","11375","11375","11375","0.7421875","0.7421875","0.7421875","11375","11375","11375","0.734375","0.734375","0.734375"
"336","11404","11404","11404","0.7578125","0.7578125","0.7578125","11404","11404","11404","0.7421875","0.7421875","0.7421875","11404","11404","11404","0.734375","0.734375","0.734375"
"337","11433","11433","11433","0.6484375","0.6484375","0.6484375","11433","11433","11433","0.65625","0.65625","0.65625","11433","11433","11433","0.65234375","0.65234375","0.65234375"
"338","11462","11462","11462","0.7265625","0.7265625","0.7265625","11462","11462","11462","0.75","0.75","0.75","11462","11462","11462","0.734375","0.734375","0.734375"
"339","11491","11491","11491","0.69921875","0.69921875","0.69921875","11491","11491","11491","0.703125","0.703125","0.703125","11491","11491","11491","0.7265625","0.7265625","0.7265625"
"340","11520","11520","11520","0.765625","0.765625","0.765625","11520","11520","11520","0.734375","0.734375","0.734375","11520","11520","11520","0.734375","0.734375","0.734375"
"341","11549","11549","11549","0.6875","0.6875","0.6875","11549","11549","11549","0.70703125","0.70703125","0.70703125","11549","11549","11549","0.6875","0.6875","0.6875"
"342","11578","11578","11578","0.77734375","0.77734375","0.77734375","11578","11578","11578","0.796875","0.796875","0.796875","11578","11578","11578","0.8046875","0.8046875","0.8046875"
"343","11607","11607","11607","0.64453125","0.64453125","0.64453125","11607","11607","11607","0.6640625","0.6640625","0.6640625","11607","11607","11607","0.64453125","0.64453125","0.64453125"
"344","11636","11636","11636","0.7109375","0.7109375","0.7109375","11636","11636","11636","0.71484375","0.71484375","0.71484375","11636","11636","11636","0.71875","0.71875","0.71875"
"345","11665","11665","11665","0.73828125","0.73828125","0.73828125","11665","11665","11665","0.74609375","0.74609375","0.74609375","11665","11665","11665","0.71875","0.71875","0.71875"
"346","11694","11694","11694","0.78125","0.78125","0.78125","11694","11694","11694","0.765625","0.765625","0.765625","11694","11694","11694","0.78515625","0.78515625","0.78515625"
"347","11723","11723","11723","0.8359375","0.8359375","0.8359375","11723","11723","11723","0.8125","0.8125","0.8125","11723","11723","11723","0.83984375","0.83984375","0.83984375"
"348","11752","11752","11752","0.6953125","0.6953125","0.6953125","11752","11752","11752","0.703125","0.703125","0.703125","11752","11752","11752","0.67578125","0.67578125","0.67578125"
"349","11781","11781","11781","0.7265625","0.7265625","0.7265625","11781","11781","11781","0.76953125","0.76953125","0.76953125","11781","11781","11781","0.73046875","0.73046875","0.73046875"
"350","11810","11810","11810","0.7890625","0.7890625","0.7890625","11810","11810","11810","0.81640625","0.81640625","0.81640625","11810","11810","11810","0.78515625","0.78515625","0.78515625"
"351","11839","11839","11839","0.56640625","0.56640625","0.56640625","11839","11839","11839","0.53515625","0.53515625","0.53515625","11839","11839","11839","0.5625","0.5625","0.5625"
"352","11868","11868","11868","0.78515625","0.78515625","0.78515625","11868","11868","11868","0.75390625","0.75390625","0.75390625","11868","11868","11868","0.7734375","0.7734375","0.7734375"
"353","12048","12048","12048","0.82421875","0.82421875","0.82421875","12048","12048","12048","0.8203125","0.8203125","0.8203125","12048","12048","12048","0.828125","0.828125","0.828125"
"354","12077","12077","12077","0.546875","0.546875","0.546875","12077","12077","12077","0.58984375","0.58984375","0.58984375","12077","12077","12077","0.5625","0.5625","0.5625"
"355","12106","12106","12106","0.80859375","0.80859375","0.80859375","12106","12106","12106","0.79296875","0.79296875","0.79296875","12106","12106","12106","0.80859375","0.80859375","0.80859375"
"356","12135","12135","12135","0.69140625","0.69140625","0.69140625","12135","12135","12135","0.66015625","0.66015625","0.66015625","12135","12135","12135","0.7109375","0.7109375","0.7109375"
"357","12164","12164","12164","0.70703125","0.70703125","0.70703125","12164","12164","12164","0.6875","0.6875","0.6875","12164","12164","12164","0.671875","0.671875","0.671875"
"358","12193","12193","12193","0.79296875","0.79296875","0.79296875","12193","12193","12193","0.83203125","0.83203125","0.83203125","12193","12193","12193","0.81640625","0.81640625","0.81640625"
"359","12222","12222","12222","0.609375","0.609375","0.609375","12222","12222","12222","0.63671875","0.63671875","0.63671875","12222","12222","12222","0.6484375","0.6484375","0.6484375"
"360","12251","12251","12251","0.73046875","0.73046875","0.73046875","12251","12251","12251","0.7421875","0.7421875","0.7421875","12251","12251","12251","0.71484375","0.71484375","0.71484375"
"361","12280","12280","12280","0.703125","0.703125","0.703125","12280","12280","12280","0.64453125","0.64453125","0.64453125","12280","12280","12280","0.69921875","0.69921875","0.69921875"
"362","12309","12309","12309","0.6875","0.6875","0.6875","12309","12309","12309","0.6875","0.6875","0.6875","12309","12309","12309","0.6796875","0.6796875","0.6796875"
"363","12338","12338","12338","0.65234375","0.65234375","0.65234375","12338","12338","12338","0.63671875","0.63671875","0.63671875","12338","12338","12338","0.65625","0.65625","0.65625"
"364","12367","12367","12367","0.76953125","0.76953125","0.76953125","12367","12367","12367","0.75","0.75","0.75","12367","12367","12367","0.79296875","0.79296875","0.79296875"
"365","12396","12396","12396","0.67578125","0.67578125","0.67578125","12396","12396","12396","0.68359375","0.68359375","0.68359375","12396","12396","12396","0.703125","0.703125","0.703125"
"366","12425","12425","12425","0.75","0.75","0.75","12425","12425","12425","0.74609375","0.74609375","0.74609375","12425","12425","12425","0.7578125","0.7578125","0.7578125"
"367","12454","12454","12454","0.7265625","0.7265625","0.7265625","12454","12454","12454","0.7265625","0.7265625","0.7265625","12454","12454","12454","0.734375","0.734375","0.734375"
"368","12483","12483","12483","0.6796875","0.6796875","0.6796875","12483","12483","12483","0.73046875","0.73046875","0.73046875","12483","12483","12483","0.703125","0.703125","0.703125"
"369","12512","12512","12512","0.82421875","0.82421875","0.82421875","12512","12512","12512","0.84765625","0.84765625","0.84765625","12512","12512","12512","0.859375","0.859375","0.859375"
"370","12541","12541","12541","0.80078125","0.80078125","0.80078125","12541","12541","12541","0.859375","0.859375","0.859375","12541","12541","12541","0.83203125","0.83203125","0.83203125"
"371","12570","12570","12570","0.71875","0.71875","0.71875","12570","12570","12570","0.71484375","0.71484375","0.71484375","12570","12570","12570","0.73046875","0.73046875","0.73046875"
"372","12599","12599","12599","0.70703125","0.70703125","0.70703125","12599","12599","12599","0.70703125","0.70703125","0.70703125","12599","12599","12599","0.71484375","0.71484375","0.71484375"
"373","12628","12628","12628","0.66796875","0.66796875","0.66796875","12628","12628","12628","0.703125","0.703125","0.703125","12628","12628","12628","0.69140625","0.69140625","0.69140625"
"374","12657","12657","12657","0.78515625","0.78515625","0.78515625","12657","12657","12657","0.79296875","0.79296875","0.79296875","12657","12657","12657","0.765625","0.765625","0.765625"
"375","12686","12686","12686","0.66015625","0.66015625","0.66015625","12686","12686","12686","0.671875","0.671875","0.671875","12686","12686","12686","0.6640625","0.6640625","0.6640625"
"376","12715","12715","12715","0.6640625","0.6640625","0.6640625","12715","12715","12715","0.65625","0.65625","0.65625","12715","12715","12715","0.66015625","0.66015625","0.66015625"
"377","12744","12744","12744","0.75390625","0.75390625","0.75390625","12744","12744","12744","0.734375","0.734375","0.734375","12744","12744","12744","0.75390625","0.75390625","0.75390625"
"378","12773","12773","12773","0.69140625","0.69140625","0.69140625","12773","12773","12773","0.67578125","0.67578125","0.67578125","12773","12773","12773","0.703125","0.703125","0.703125"
"379","12802","12802","12802","0.8359375","0.8359375","0.8359375","12802","12802","12802","0.80859375","0.80859375","0.80859375","12802","12802","12802","0.8125","0.8125","0.8125"
"380","12831","12831","12831","0.71875","0.71875","0.71875","12831","12831","12831","0.6875","0.6875","0.6875","12831","12831","12831","0.6953125","0.6953125","0.6953125"
"381","12860","12860","12860","0.73828125","0.73828125","0.73828125","12860","12860","12860","0.7578125","0.7578125","0.7578125","12860","12860","12860","0.7265625","0.7265625","0.7265625"
"382","12889","12889","12889","0.65625","0.65625","0.65625","12889","12889","12889","0.640625","0.640625","0.640625","12889","12889","12889","0.6875","0.6875","0.6875"
"383","12918","12918","12918","0.81640625","0.81640625","0.81640625","12918","12918","12918","0.83203125","0.83203125","0.83203125","12918","12918","12918","0.81640625","0.81640625","0.81640625"
"384","12947","12947","12947","0.7734375","0.7734375","0.7734375","12947","12947","12947","0.76171875","0.76171875","0.76171875","12947","12947","12947","0.75","0.75","0.75"
"385","13127","13127","13127","0.70703125","0.70703125","0.70703125","13127","13127","13127","0.71875","0.71875","0.71875","13127","13127","13127","0.71875","0.71875","0.71875"
"386","13156","13156","13156","0.64453125","0.64453125","0.64453125","13156","13156","13156","0.66796875","0.66796875","0.66796875","13156","13156","13156","0.64453125","0.64453125","0.64453125"
"387","13185","13185","13185","0.640625","0.640625","0.640625","13185","13185","13185","0.5859375","0.5859375","0.5859375","13185","13185","13185","0.609375","0.609375","0.609375"
"388","13214","13214","13214","0.81640625","0.81640625","0.81640625","13214","13214","13214","0.80859375","0.80859375","0.80859375","13214","13214","13214","0.78515625","0.78515625","0.78515625"
"389","13243","13243","13243","0.75","0.75","0.75","13243","13243","13243","0.765625","0.765625","0.765625","13243","13243","13243","0.74609375","0.74609375","0.74609375"
"390","13272","13272","13272","0.67578125","0.67578125","0.67578125","13272","13272","13272","0.65234375","0.65234375","0.65234375","13272","13272","13272","0.6640625","0.6640625","0.6640625"
"391","13301","13301","13301","0.83203125","0.83203125","0.83203125","13301","13301","13301","0.85546875","0.85546875","0.85546875","13301","13301","13301","0.8515625","0.8515625","0.8515625"
"392","13330","13330","13330","0.77734375","0.77734375","0.77734375","13330","13330","13330","0.7890625","0.7890625","0.7890625","13330","13330","13330","0.8046875","0.8046875","0.8046875"
"393","13359","13359","13359","0.6953125","0.6953125","0.6953125","13359","13359","13359","0.671875","0.671875","0.671875","13359","13359","13359","0.69140625","0.69140625","0.69140625"
"394","13388","13388","13388","0.80078125","0.80078125","0.80078125","13388","13388","13388","0.7578125","0.7578125","0.7578125","13388","13388","13388","0.7734375","0.7734375","0.7734375"
"395","13417","13417","13417","0.80859375","0.80859375","0.80859375","13417","13417","13417","0.84375","0.84375","0.84375","13417","13417","13417","0.8203125","0.8203125","0.8203125"
"396","13446","13446","13446","0.71875","0.71875","0.71875","13446","13446","13446","0.6953125","0.6953125","0.6953125","13446","13446","13446","0.703125","0.703125","0.703125"
"397","13475","13475","13475","0.765625","0.765625","0.765625","13475","13475","13475","0.7578125","0.7578125","0.7578125","13475","13475","13475","0.765625","0.765625","0.765625"
"398","13504","13504","13504","0.71484375","0.71484375","0.71484375","13504","13504","13504","0.71484375","0.71484375","0.71484375","13504","13504","13504","0.7109375","0.7109375","0.7109375"
"399","13533","13533","13533","0.6171875","0.6171875","0.6171875","13533","13533","13533","0.60546875","0.60546875","0.60546875","13533","13533","13533","0.6171875","0.6171875","0.6171875"
"400","13562","13562","13562","0.80859375","0.80859375","0.80859375","13562","13562","13562","0.80078125","0.80078125","0.80078125","13562","13562","13562","0.8046875","0.8046875","0.8046875"
"401","13591","13591","13591","0.7109375","0.7109375","0.7109375","13591","13591","13591","0.69140625","0.69140625","0.69140625","13591","13591","13591","0.6953125","0.6953125","0.6953125"
"402","13620","13620","13620","0.69140625","0.69140625","0.69140625","13620","13620","13620","0.66796875","0.66796875","0.66796875","13620","13620","13620","0.703125","0.703125","0.703125"
"403","13649","13649","13649","0.7578125","0.7578125","0.7578125","13649","13649","13649","0.73828125","0.73828125","0.73828125","13649","13649","13649","0.76171875","0.76171875","0.76171875"
"404","13678","13678","13678","0.8046875","0.8046875","0.8046875","13678","13678","13678","0.77734375","0.77734375","0.77734375","13678","13678","13678","0.7890625","0.7890625","0.7890625"
"405","13707","13707","13707","0.703125","0.703125","0.703125","13707","13707","13707","0.7265625","0.7265625","0.7265625","13707","13707","13707","0.7421875","0.7421875","0.7421875"
"406","13736","13736","13736","0.8125","0.8125","0.8125","13736","13736","13736","0.8046875","0.8046875","0.8046875","13736","13736","13736","0.80078125","0.80078125","0.80078125"
"407","13765","13765","13765","0.75","0.75","0.75","13765","13765","13765","0.7578125","0.7578125","0.7578125","13765","13765","13765","0.74609375","0.74609375","0.74609375"
"408","13794","13794","13794","0.7265625","0.7265625","0.7265625","13794","13794","13794","0.72265625","0.72265625","0.72265625","13794","13794","13794","0.73046875","0.73046875","0.73046875"
"409","13823","13823","13823","0.76171875","0.76171875","0.76171875","13823","13823","13823","0.78515625","0.78515625","0.78515625","13823","13823","13823","0.7421875","0.7421875","0.7421875"
"410","13852","13852","13852","0.62109375","0.62109375","0.62109375","13852","13852","13852","0.62890625","0.62890625","0.62890625","13852","13852","13852","0.62890625","0.62890625","0.62890625"
"411","13881","13881","13881","0.6640625","0.6640625","0.6640625","13881","13881","13881","0.64453125","0.64453125","0.64453125","13881","13881","13881","0.65234375","0.65234375","0.65234375"
"412","13910","13910","13910","0.734375","0.734375","0.734375","13910","13910","13910","0.7578125","0.7578125","0.7578125","13910","13910","13910","0.76171875","0.76171875","0.76171875"
"413","13939","13939","13939","0.76171875","0.76171875","0.76171875","13939","13939","13939","0.7421875","0.7421875","0.7421875","13939","13939","13939","0.765625","0.765625","0.765625"
"414","13968","13968","13968","0.76953125","0.76953125","0.76953125","13968","13968","13968","0.81640625","0.81640625","0.81640625","13968","13968","13968","0.80078125","0.80078125","0.80078125"
"415","13997","13997","13997","0.8359375","0.8359375","0.8359375","13997","13997","13997","0.7890625","0.7890625","0.7890625","13997","13997","13997","0.796875","0.796875","0.796875"
"416","14026","14026","14026","0.6484375","0.6484375","0.6484375","14026","14026","14026","0.69140625","0.69140625","0.69140625","14026","14026","14026","0.671875","0.671875","0.671875"
"417","14206","14206","14206","0.76953125","0.76953125","0.76953125","14206","14206","14206","0.765625","0.765625","0.765625","14206","14206","14206","0.73046875","0.73046875","0.73046875"
"418","14235","14235","14235","0.76171875","0.76171875","0.76171875","14235","14235","14235","0.75390625","0.75390625","0.75390625","14235","14235","14235","0.75390625","0.75390625","0.75390625"
"419","14264","14264","14264","0.75","0.75","0.75","14264","14264","14264","0.71875","0.71875","0.71875","14264","14264","14264","0.765625","0.765625","0.765625"
"420","14293","14293","14293","0.71484375","0.71484375","0.71484375","14293","14293","14293","0.72265625","0.72265625","0.72265625","14293","14293","14293","0.7109375","0.7109375","0.7109375"
"421","14322","14322","14322","0.71484375","0.71484375","0.71484375","14322","14322","14322","0.7265625","0.7265625","0.7265625","14322","14322","14322","0.74609375","0.74609375","0.74609375"
"422","14351","14351","14351","0.84765625","0.84765625","0.84765625","14351","14351","14351","0.828125","0.828125","0.828125","14351","14351","14351","0.86328125","0.86328125","0.86328125"
"423","14380","14380","14380","0.80078125","0.80078125","0.80078125","14380","14380","14380","0.81640625","0.81640625","0.81640625","14380","14380","14380","0.84765625","0.84765625","0.84765625"
"424","14409","14409","14409","0.83984375","0.83984375","0.83984375","14409","14409","14409","0.8359375","0.8359375","0.8359375","14409","14409","14409","0.87109375","0.87109375","0.87109375"
"425","14438","14438","14438","0.8046875","0.8046875","0.8046875","14438","14438","14438","0.8125","0.8125","0.8125","14438","14438","14438","0.83203125","0.83203125","0.83203125"
"426","14467","14467","14467","0.6875","0.6875","0.6875","14467","14467","14467","0.671875","0.671875","0.671875","14467","14467","14467","0.71875","0.71875","0.71875"
"427","14496","14496","14496","0.80078125","0.80078125","0.80078125","14496","14496","14496","0.80078125","0.80078125","0.80078125","14496","14496","14496","0.81640625","0.81640625","0.81640625"
"428","14525","14525","14525","0.7421875","0.7421875","0.7421875","14525","14525","14525","0.7265625","0.7265625","0.7265625","14525","14525","14525","0.734375","0.734375","0.734375"
"429","14554","14554","14554","0.734375","0.734375","0.734375","14554","14554","14554","0.7578125","0.7578125","0.7578125","14554","14554","14554","0.7109375","0.7109375","0.7109375"
"430","14583","14583","14583","0.72265625","0.72265625","0.72265625","14583","14583","14583","0.71484375","0.71484375","0.71484375","14583","14583","14583","0.71875","0.71875","0.71875"
"431","14612","14612","14612","0.75390625","0.75390625","0.75390625","14612","14612","14612","0.7265625","0.7265625","0.7265625","14612","14612","14612","0.73828125","0.73828125","0.73828125"
"432","14641","14641","14641","0.76171875","0.76171875","0.76171875","14641","14641","14641","0.6953125","0.6953125","0.6953125","14641","14641","14641","0.77734375","0.77734375","0.77734375"
"433","14670","14670","14670","0.77734375","0.77734375","0.77734375","14670","14670","14670","0.796875","0.796875","0.796875","14670","14670","14670","0.80859375","0.80859375","0.80859375"
"434","14699","14699","14699","0.7578125","0.7578125","0.7578125","14699","14699","14699","0.78125","0.78125","0.78125","14699","14699","14699","0.73828125","0.73828125","0.73828125"
"435","14728","14728","14728","0.69921875","0.69921875","0.69921875","14728","14728","14728","0.7265625","0.7265625","0.7265625","14728","14728","14728","0.74609375","0.74609375","0.74609375"
"436","14757","14757","14757","0.71484375","0.71484375","0.71484375","14757","14757","14757","0.70703125","0.70703125","0.70703125","14757","14757","14757","0.6796875","0.6796875","0.6796875"
