"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/step_diff","[paper]GEPO_diff4 - train/step_diff__MIN","[paper]GEPO_diff4 - train/step_diff__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/step_diff","[paper]GEPO_diff32 - train/step_diff__MIN","[paper]GEPO_diff32 - train/step_diff__MAX"
"92","3596","3596","3596","4","4","4","3596","3596","3596","27","27","27"
"93","3631","3631","3631","0","0","0","3631","3631","3631","28","28","28"
"94","3666","3666","3666","1","1","1","3666","3666","3666","29","29","29"
"95","3701","3701","3701","2","2","2","3701","3701","3701","30","30","30"
"96","3736","3736","3736","1","1","1","3736","3736","3736","31","31","31"
"97","3771","3771","3771","2","2","2","3771","3771","3771","32","32","32"
"98","3806","3806","3806","5","5","5","3806","3806","3806","33","33","33"
"99","3841","3841","3841","3","3","3","3841","3841","3841","34","34","34"
"100","3876","3876","3876","5","5","5","3876","3876","3876","35","35","35"
"101","3911","3911","3911","0","0","0","3911","3911","3911","36","36","36"
"102","3946","3946","3946","1","1","1","3946","3946","3946","37","37","37"
"103","3981","3981","3981","2","2","2","3981","3981","3981","38","38","38"
"104","4016","4016","4016","3","3","3","4016","4016","4016","39","39","39"
"105","4051","4051","4051","4","4","4","4051","4051","4051","40","40","40"
"106","4086","4086","4086","3","3","3","4086","4086","4086","41","41","41"
"107","4121","4121","4121","6","6","6","4121","4121","4121","42","42","42"
"108","4156","4156","4156","1","1","1","4156","4156","4156","0","0","0"
"109","4191","4191","4191","1","1","1","4191","4191","4191","1","1","1"
"110","4226","4226","4226","3","3","3","4226","4226","4226","2","2","2"
"111","4261","4261","4261","3","3","3","4261","4261","4261","3","3","3"
"112","4296","4296","4296","3","3","3","4296","4296","4296","4","4","4"
"113","4331","4331","4331","5","5","5","4331","4331","4331","5","5","5"
"114","4366","4366","4366","3","3","3","4366","4366","4366","6","6","6"
"115","4401","4401","4401","3","3","3","4401","4401","4401","7","7","7"
"116","4436","4436","4436","3","3","3","4436","4436","4436","8","8","8"
"117","4471","4471","4471","8","8","8","4471","4471","4471","9","9","9"
"118","4506","4506","4506","0","0","0","4506","4506","4506","10","10","10"
"119","4541","4541","4541","1","1","1","4541","4541","4541","11","11","11"
"120","4576","4576","4576","2","2","2","4576","4576","4576","12","12","12"
"121","4611","4611","4611","3","3","3","4611","4611","4611","13","13","13"
"122","4646","4646","4646","4","4","4","4646","4646","4646","14","14","14"
"123","4681","4681","4681","3","3","3","4681","4681","4681","15","15","15"
"124","4716","4716","4716","6","6","6","4716","4716","4716","16","16","16"
"125","4751","4751","4751","1","1","1","4751","4751","4751","17","17","17"
"126","4786","4786","4786","1","1","1","4786","4786","4786","4","4","4"
"127","4821","4821","4821","3","3","3","4821","4821","4821","19","19","19"
"128","4856","4856","4856","3","3","3","4856","4856","4856","20","20","20"
"129","5268","5268","5268","0","0","0","5268","5268","5268","0","0","0"
"130","5303","5303","5303","5","5","5","5303","5303","5303","22","22","22"
"131","5338","5338","5338","5","5","5","5338","5338","5338","9","9","9"
"132","5373","5373","5373","7","7","7","5373","5373","5373","6","6","6"
"133","5408","5408","5408","8","8","8","5408","5408","5408","7","7","7"
"134","5443","5443","5443","0","0","0","5443","5443","5443","26","26","26"
"135","5478","5478","5478","1","1","1","5478","5478","5478","13","13","13"
"136","5513","5513","5513","2","2","2","5513","5513","5513","10","10","10"
"137","5548","5548","5548","3","3","3","5548","5548","5548","4","4","4"
"138","5583","5583","5583","4","4","4","5583","5583","5583","12","12","12"
"139","5618","5618","5618","4","4","4","5618","5618","5618","31","31","31"
"140","5653","5653","5653","0","0","0","5653","5653","5653","14","14","14"
"141","5688","5688","5688","1","1","1","5688","5688","5688","15","15","15"
"142","5723","5723","5723","2","2","2","5723","5723","5723","13","13","13"
"143","5758","5758","5758","3","3","3","5758","5758","5758","14","14","14"
"144","5793","5793","5793","4","4","4","5793","5793","5793","3","3","3"
"145","5828","5828","5828","3","3","3","5828","5828","5828","16","16","16"
"146","5863","5863","5863","6","6","6","5863","5863","5863","4","4","4"
"147","5898","5898","5898","2","2","2","5898","5898","5898","18","18","18"
"148","5933","5933","5933","2","2","2","5933","5933","5933","19","19","19"
"149","5968","5968","5968","7","7","7","5968","5968","5968","4","4","4"
"150","6003","6003","6003","8","8","8","6003","6003","6003","21","21","21"
"151","6038","6038","6038","3","3","3","6038","6038","6038","22","22","22"
"152","6073","6073","6073","7","7","7","6073","6073","6073","23","23","23"
"153","6108","6108","6108","0","0","0","6108","6108","6108","24","24","24"
"154","6143","6143","6143","1","1","1","6143","6143","6143","4","4","4"
"155","6178","6178","6178","2","2","2","6178","6178","6178","26","26","26"
"156","6213","6213","6213","1","1","1","6213","6213","6213","27","27","27"
"157","6248","6248","6248","4","4","4","6248","6248","6248","28","28","28"
"158","6283","6283","6283","3","3","3","6283","6283","6283","4","4","4"
"159","6318","6318","6318","3","3","3","6318","6318","6318","30","30","30"
"160","6353","6353","6353","7","7","7","6353","6353","6353","31","31","31"
"161","6388","6388","6388","3","3","3","6388","6388","6388","32","32","32"
"162","6423","6423","6423","7","7","7","6423","6423","6423","33","33","33"
"163","6458","6458","6458","0","0","0","6458","6458","6458","34","34","34"
"164","6493","6493","6493","1","1","1","6493","6493","6493","35","35","35"
"165","6528","6528","6528","2","2","2","6528","6528","6528","36","36","36"
"166","6563","6563","6563","2","2","2","6563","6563","6563","37","37","37"
"167","6598","6598","6598","3","3","3","6598","6598","6598","4","4","4"
"168","6633","6633","6633","5","5","5","6633","6633","6633","4","4","4"
"169","6668","6668","6668","2","2","2","6668","6668","6668","4","4","4"
"170","6703","6703","6703","2","2","2","6703","6703","6703","37","37","37"
"171","6738","6738","6738","7","7","7","6738","6738","6738","38","38","38"
"172","6773","6773","6773","8","8","8","6773","6773","6773","39","39","39"
"173","6808","6808","6808","0","0","0","6808","6808","6808","40","40","40"
"174","6843","6843","6843","1","1","1","6843","6843","6843","41","41","41"
"175","6878","6878","6878","1","1","1","6878","6878","6878","4","4","4"
"176","6913","6913","6913","2","2","2","6913","6913","6913","35","35","35"
"177","6948","6948","6948","2","2","2","6948","6948","6948","35","35","35"
"178","6983","6983","6983","4","4","4","6983","6983","6983","37","37","37"
"179","7018","7018","7018","4","4","4","7018","7018","7018","37","37","37"
"180","7053","7053","7053","2","2","2","7053","7053","7053","39","39","39"
"181","7088","7088","7088","7","7","7","7088","7088","7088","36","36","36"
"182","7123","7123","7123","4","4","4","7123","7123","7123","32","32","32"
"183","7158","7158","7158","0","0","0","7158","7158","7158","38","38","38"
"184","7193","7193","7193","1","1","1","7193","7193","7193","4","4","4"
"185","7228","7228","7228","2","2","2","7228","7228","7228","35","35","35"
"186","7263","7263","7263","1","1","1","7263","7263","7263","36","36","36"
"187","7298","7298","7298","2","2","2","7298","7298","7298","37","37","37"
"188","7333","7333","7333","3","3","3","7333","7333","7333","38","38","38"
"189","7368","7368","7368","3","3","3","7368","7368","7368","4","4","4"
"190","7403","7403","7403","5","5","5","7403","7403","7403","4","4","4"
"191","7438","7438","7438","2","2","2","7438","7438","7438","37","37","37"
"192","7473","7473","7473","2","2","2","7473","7473","7473","38","38","38"
"193","7885","7885","7885","0","0","0","7885","7885","7885","0","0","0"
"194","7920","7920","7920","4","4","4","7920","7920","7920","31","31","31"
"195","7955","7955","7955","5","5","5","7955","7955","7955","31","31","31"
"196","7990","7990","7990","6","6","6","7990","7990","7990","31","31","31"
"197","8025","8025","8025","7","7","7","8025","8025","8025","34","34","34"
"198","8060","8060","8060","0","0","0","8060","8060","8060","4","4","4"
"199","8095","8095","8095","1","1","1","8095","8095","8095","4","4","4"
"200","8130","8130","8130","2","2","2","8130","8130","8130","29","29","29"
"201","8165","8165","8165","3","3","3","8165","8165","8165","30","30","30"
"202","8200","8200","8200","1","1","1","8200","8200","8200","4","4","4"
"203","8235","8235","8235","5","5","5","8235","8235","8235","32","32","32"
"204","8270","8270","8270","3","3","3","8270","8270","8270","33","33","33"
"205","8305","8305","8305","2","2","2","8305","8305","8305","34","34","34"
"206","8340","8340","8340","5","5","5","8340","8340","8340","35","35","35"
"207","8375","8375","8375","4","4","4","8375","8375","8375","36","36","36"
"208","8410","8410","8410","0","0","0","8410","8410","8410","37","37","37"
"209","8445","8445","8445","1","1","1","8445","8445","8445","38","38","38"
"210","8480","8480","8480","2","2","2","8480","8480","8480","39","39","39"
"211","8515","8515","8515","2","2","2","8515","8515","8515","40","40","40"
"212","8550","8550","8550","4","4","4","8550","8550","8550","41","41","41"
"213","8585","8585","8585","5","5","5","8585","8585","8585","42","42","42"
"214","8620","8620","8620","0","0","0","8620","8620","8620","43","43","43"
"215","8655","8655","8655","1","1","1","8655","8655","8655","44","44","44"
"216","8690","8690","8690","2","2","2","8690","8690","8690","45","45","45"
